,index,name,uri,wikipedia,abstract,cid,type,related_to,createdAt,abstract_contents,article_contents,category,super_category,relrel_concepts,link_ratio,entropy
10,10,Cognitivism (psychology),http://dbpedia.org/resource/Cognitivism_(psychology),http://en.wikipedia.org/wiki/Cognitivism_(psychology),"In psychology, cognitivism is a theoretical framework for understanding the mind that gained credence in the 1950s. The movement was a response to behaviorism, which cognitivists said neglected to explain cognition. Cognitive psychology derived its name from the Latin cognoscere, referring to knowing and information, thus cognitive psychology is an information-processing psychology derived in part from earlier traditions of the investigation of thought and problem solving. Behaviorists acknowledged the existence of thinking but identified it as a behavior. Cognitivists argued that the way people think impacts their behavior and therefore cannot be a behavior in and of itself. Cognitivists later argued that thinking is so essential to psychology that the study of thinking should become its own field. However, cognitivists typically presuppose a specific form of mental activity, of the kind advanced by computationalism. Cognitivism has more recently been challenged by postcognitivism.",2959878055518971794,related_concept,Psychology,2024-11-18 23:15:04.822,[],[],set(),set(),0,0,0.07076588358022842
11,11,Social psychology,http://dbpedia.org/resource/Social_psychology,http://en.wikipedia.org/wiki/Social_psychology,"Social psychology is the scientific study of how thoughts, feelings, and behaviors are influenced by the real or imagined presence of other people or by social norms. Social psychologists typically explain human behavior as a result of the relationship between mental states and social situations, studying the social conditions under which thoughts, feelings, and behaviors occur, and how these variables influence social interactions.",6896851860957698561,related_concept,Psychology,2024-11-18 23:15:04.822,['Social psychology'],"['Social psychology', 'Social cognition', 'Psychology']",set(),set(),0,0,0.07589561429668595
12,12,Social cognition,http://dbpedia.org/resource/Social_cognition,http://en.wikipedia.org/wiki/Social_cognition,"Social cognition is a sub-topic of various branches of psychology that focuses on how people process, store, and apply information about other people and social situations. It focuses on the role that cognitive processes play in social interactions. More technically, social cognition refers to how people deal with conspecifics (members of the same species) or even across species (such as pet) information, include four stages: encoding, storage, retrieval, and processing. In the area of social psychology, social cognition refers to a specific approach in which these processes are studied according to the methods of cognitive psychology and information processing theory. According to this view, social cognition is a level of analysis that aims to understand social psychological phenomena by investigating the cognitive processes that underlie them. The major concerns of the approach are the processes involved in the perception, judgment, and memory of social stimuli; the effects of social and affective factors on information processing; and the behavioral and interpersonal consequences of cognitive processes. This level of analysis may be applied to any content area within social psychology, including research on intrapersonal, interpersonal, intragroup, and intergroup processes. The term social cognition has been used in multiple areas in psychology and cognitive neuroscience, most often to refer to various social abilities disrupted in autism, schizophrenia and psychopathy. In cognitive neuroscience the biological basis of social cognition is investigated. Developmental psychologists study the development of social cognition abilities.",8979288630097546804,related_concept,Psychology,2024-11-18 23:15:04.822,['Social cognition'],['Social cognition'],set(),set(),0,0,5.574220191298454e-307
13,13,Positive psychology,http://dbpedia.org/resource/Positive_psychology,http://en.wikipedia.org/wiki/Positive_psychology,"Positive psychology is the scientific study of what makes life most worth living, focusing on both individual and societal well-being. It studies ""positive subjective experience, positive individual traits, and positive institutions...it aims to improve quality of life."" It is a field of study that has been growing steadily throughout the years as individuals and researchers look for common ground on better well-being. Positive psychology began as a new domain of psychology in 1998 when Martin Seligman chose it as the theme for his term as president of the American Psychological Association. It is a reaction against past practices, which have tended to focus on mental illness and emphasized maladaptive behavior and negative thinking. It builds on the humanistic movement by Abraham Maslow, Rollo May, James Bugental, and Carl Rogers, which encourages an emphasis on happiness, well-being, and positivity, thus creating the foundation for what is now known as positive psychology. Positive psychology focuses on eudaimonia, an Ancient Greek term for ""the good life"" and the concept for reflection on the factors that contribute the most to a well-lived and fulfilling life. Positive psychologists often use the terms subjective well-being and happiness interchangeably. Positive psychologists have suggested a number of factors may contribute to happiness and subjective well-being. For example, social ties with a spouse, family, friends, colleagues, and wider networks; membership in clubs or social organizations; physical exercise; and the practice of meditation. Spirituality can also be considered a factor that leads to increased individual happiness and well-being. Spiritual practice and religious commitment is a topic researchers have been studying as another possible source for increased well-being and an added part of positive psychology. Happiness may rise with increasing financial income, though it may plateau or even fall when no further gains are made or after a certain cut-off amount.",8804832611022945274,related_concept,Psychology,2024-11-18 23:15:04.822,['Positive psychology'],"['Positive psychology', 'Psychology', 'Emotion', 'Mind']",set(),set(),0,0,5.50458775929731e-307
14,14,Comparative psychology,http://dbpedia.org/resource/Comparative_psychology,http://en.wikipedia.org/wiki/Comparative_psychology,"Comparative psychology refers to the scientific study of the behavior and mental processes of non-human animals, especially as these relate to the phylogenetic history, adaptive significance, and development of behavior. Research in this area addresses many different issues, uses many different methods and explores the behavior of many different species from insects to primates. Comparative psychology is sometimes assumed to emphasize cross-species comparisons, including those between humans and animals. However, some researchers feel that direct comparisons should not be the sole focus of comparative psychology and that intense focus on a single organism to understand its behavior is just as desirable; if not more so. Donald Dewsbury reviewed the works of several psychologists and their definitions and concluded that the object of comparative psychology is to establish principles of generality focusing on both proximate and ultimate causation. Using a comparative approach to behavior allows one to evaluate the target behavior from four different, complementary perspectives, developed by Niko Tinbergen. First, one may ask how pervasive the behavior is across species (i.e. how common is the behavior between animal species?). Second, one may ask how the behavior contributes to the lifetime reproductive success of the individuals demonstrating the behavior (i.e. does the behavior result in animals producing more offspring than animals not displaying the behavior)? Theories addressing the ultimate causes of behavior are based on the answers to these two questions. Third, what mechanisms are involved in the behavior (i.e. what physiological, behavioral, and environmental components are necessary and sufficient for the generation of the behavior)? Fourth, a researcher may ask about the development of the behavior within an individual (i.e. what maturational, learning, social experiences must an individual undergo in order to demonstrate a behavior)? Theories addressing the proximate causes of behavior are based on answers to these two questions. For more details see Tinbergen's four questions.",7249842800561419774,related_concept,Psychology,2024-11-18 23:15:04.822,['Comparative psychology'],['Comparative psychology'],set(),set(),0,0,5.435148538027192e-307
15,15,Developmental psychology,http://dbpedia.org/resource/Developmental_psychology,http://en.wikipedia.org/wiki/Developmental_psychology,"Developmental psychology is the scientific study of how and why humans grow, change, and adapt across the course of their lives. Originally concerned with infants and children, the field has expanded to include adolescence, adult development, aging, and the entire lifespan. Developmental psychologists aim to explain how thinking, feeling, and behaviors change throughout life. This field examines change across three major dimensions, which are physical development, cognitive development, and social emotional development. Within these three dimensions are a broad range of topics including motor skills, executive functions, moral understanding, language acquisition, social change, personality, emotional development, self-concept, and identity formation. Developmental psychology examines the influences of nature and nurture on the process of human development, as well as processes of change in context across time. Many researchers are interested in the interactions among personal characteristics, the individual's behavior, and environmental factors. This includes the social context and the built environment. Ongoing debates in regards to developmental psychology include biological essentialism vs. neuroplasticity and stages of development vs. dynamic systems of development. Research in developmental psychology has some limitations but at the moment researchers are working to understand how transitioning through stages of life and biological factors may impact our behaviors and development. Developmental psychology involves a range of fields, such as educational psychology, child psychopathology, forensic developmental psychology, child development, cognitive psychology, ecological psychology, and cultural psychology. Influential developmental psychologists from the 20th century include Urie Bronfenbrenner, Erik Erikson, Sigmund Freud, Anna Freud, Jean Piaget, Barbara Rogoff, Esther Thelen, and Lev Vygotsky.",5146897912011634216,related_concept,Psychology,2024-11-18 23:15:04.822,['Developmental psychology'],"['Developmental psychology', 'Emotion']",set(),set(),0,0,5.569396008190532e-307
16,16,Industrial and organizational psychology,http://dbpedia.org/resource/Industrial_and_organizational_psychology,http://en.wikipedia.org/wiki/Industrial_and_organizational_psychology,"Industrial and organizational psychology (I-O psychology), an applied discipline within psychology, is the science of human behavior in the workplace. Depending on the country or region of the world, I-O psychology is also known as occupational psychology in the United Kingdom, organisational psychology in Australia and New Zealand, and work and organizational (WO) psychology throughout Europe and Brazil. Industrial, work, and organizational (IWO) psychology is the broader, more global term for the science and profession. I-O psychologists are trained in the scientist–practitioner model. As an applied field, the discipline involves both research and practice and I-O psychologists apply psychological theories and principles to organizations and the individuals within them. They contribute to an organization's success by improving the job performance, wellbeing, motivation, job satisfaction and the health and safety of employees. An I-O psychologist conducts research on employee behaviors and attitudes, and how these can be improved through recruitment processes, training programs, feedback, and management systems. I-O psychology research and practice also includes the work–nonwork interface such as selecting and transitioning into a new career, retirement, and work-family conflict and balance. I-O psychology is one of the 17 recognized professional specialties by the American Psychological Association (APA). In the United States the profession is represented by Division 14 of the APA and is formally known as the Society for Industrial and Organizational Psychology (SIOP). Similar I-O psychology societies can be found in many countries.",7326733999759402533,related_concept,Psychology,2024-11-18 23:15:04.822,"['Industrial and organizational psychology', 'Psychology']","['Industrial and organizational psychology', 'Psychology']",set(),set(),0,0,5.412925846166089e-307
17,17,Group dynamics,http://dbpedia.org/resource/Group_dynamics,http://en.wikipedia.org/wiki/Group_dynamics,"Group dynamics is a system of behaviors and psychological processes occurring within a social group (intragroup dynamics), or between social groups (intergroup dynamics). The study of group dynamics can be useful in understanding decision-making behaviour, tracking the spread of diseases in society, creating effective therapy techniques, and following the emergence and popularity of new ideas and technologies. These applications of the field are studied in psychology, sociology, anthropology, political science, epidemiology, education, social work, leadership studies, business and managerial studies, as well as communication studies.",6120937998656306477,related_concept,Psychology,2024-11-18 23:15:04.822,['Group dynamics'],"['Group dynamics', 'Mind', 'Psychology']",set(),set(),0,0,0.08163248221930818
18,18,Computational neuroscience,http://dbpedia.org/resource/Computational_neuroscience,http://en.wikipedia.org/wiki/Computational_neuroscience,"Computational neuroscience (also known as theoretical neuroscience or mathematical neuroscience) is a branch of neuroscience which employs mathematical models, computer simulations, theoretical analysis and abstractions of the brain to understand the principles that govern the development, structure, physiology and cognitive abilities of the nervous system. Computational neuroscience employs computational simulations to validate and solve mathematical models, and so can be seen as a sub-field of theoretical neuroscience; however, the two fields are often synonymous. The term mathematical neuroscience is also used sometimes, to stress the quantitative nature of the field. Computational neuroscience focuses on the description of biologically plausible neurons (and neural systems) and their physiology and dynamics, and it is therefore not directly concerned with biologically unrealistic models used in connectionism, control theory, cybernetics, quantitative psychology, machine learning, artificial neural networks, artificial intelligence and computational learning theory; although mutual inspiration exists and sometimes there is no strict limit between fields, with model abstraction in computational neuroscience depending on research scope and the granularity at which biological entities are analyzed. Models in theoretical neuroscience are aimed at capturing the essential features of the biological system at multiple spatial-temporal scales, from membrane currents, and chemical coupling via network oscillations, columnar and topographic architecture, nuclei, all the way up to psychological faculties like memory, learning and behavior. These computational models frame hypotheses that can be directly tested by biological or psychological experiments.",2568686168864402367,related_concept,Psychology,2024-11-18 23:15:04.822,['Computational neuroscience'],"['Computational neuroscience', 'Mind']",set(),set(),0,0,0.16254376840393717
19,19,Psychology,http://dbpedia.org/resource/Psychology,http://en.wikipedia.org/wiki/Psychology,"Psychology is the scientific study of mind and behavior. Psychology includes the study of conscious and unconscious phenomena, including feelings and thoughts. It is an academic discipline of immense scope, crossing the boundaries between the natural and social sciences. Psychologists seek an understanding of the emergent properties of brains, linking the discipline to neuroscience. As social scientists, psychologists aim to understand the behavior of individuals and groups. Ψ (psi), the first letter of the Greek word psyche from which the term psychology is derived (see below), is commonly associated with the science. A professional practitioner or researcher involved in the discipline is called a psychologist. Some psychologists can also be classified as behavioral or cognitive scientists. Some psychologists attempt to understand the role of mental functions in individual and social behavior. Others explore the physiological and neurobiological processes that underlie cognitive functions and behaviors. Psychologists are involved in research on perception, cognition, attention, emotion, intelligence, subjective experiences, motivation, brain functioning, and personality. Psychologists' interests extend to interpersonal relationships, psychological resilience, family resilience, and other areas within social psychology. They also consider the unconscious mind. Research psychologists employ empirical methods to infer causal and correlational relationships between psychosocial variables. Some, but not all, clinical and counseling psychologists rely on symbolic interpretation. While psychological knowledge is often applied to the assessment and treatment of mental health problems, it is also directed towards understanding and solving problems in several spheres of human activity. By many accounts, psychology ultimately aims to benefit society. Many psychologists are involved in some kind of therapeutic role, practicing psychotherapy in clinical, counseling, or school settings. Other psychologists conduct scientific research on a wide range of topics related to mental processes and behavior. Typically the latter group of psychologists work in academic settings (e.g., universities, medical schools, or hospitals). Another group of psychologists is employed in industrial and organizational settings. Yet others are involved in work on human development, aging, sports, health, forensic science, education, and the media.",7256152929245958462,main_concept,,2024-11-18 23:15:04.822,['Psychology'],"['Psychology', 'Mind', 'Social psychology', 'Social cognition', 'Positive psychology', 'Personality psychology', 'Developmental psychology', 'Clinical psychology', 'Educational psychology', 'Computational neuroscience', 'Comparative psychology']",{'Psychology'},set(),0,0,5.421558273805716e-307
20,20,Fieschertal,http://dbpedia.org/resource/Fieschertal,http://en.wikipedia.org/wiki/Fieschertal,"Fieschertal is a village and municipality in the district of Goms in the canton of Valais in Switzerland. Besides the village of Fieschertal, the municipality includes the nearby hamlets of Wichul, Zer Flie and Wirbul.",2756693552615222385,related_concept,Goms District,2024-11-18 23:15:04.822,"['Fieschertal', 'Valais', 'Fiesch', 'Switzerland']","['Fieschertal', 'Valais', 'Fiesch', 'Switzerland']",set(),set(),0,0,4.010726636586658e-307
21,21,Binn,http://dbpedia.org/resource/Binn,http://en.wikipedia.org/wiki/Binn,"Binn (Walser German: Bìi) is a municipality in the district of Goms in the canton of Valais in Switzerland. The Binn Valley is known for its rich mineral deposits, some types of which are unique to the area. The notable Lengenbach Quarry is in Binn.",2812667402106389693,related_concept,Goms District,2024-11-18 23:15:04.822,"['Binn', 'Valais', 'Switzerland']","['Binn', 'Valais', 'Switzerland']",set(),set(),0,0,3.970983701191044e-307
