,name,related_to
162,Frequentist inference,Statistical inference
163,Informal inferential reasoning,Statistical inference
164,Estimation theory,Statistical inference
165,Estimator,Statistical inference
166,Interval estimation,Statistical inference
167,Descriptive statistics,Statistical inference
168,Prediction interval,Statistical inference
169,Survey sampling,Statistical inference
170,Algorithmic inference,Statistical inference
171,Model selection,Statistical inference
172,Statistical population,Statistical inference
173,Regression analysis,Statistical inference
174,Statistical model,Statistical inference
175,Fiducial inference,Statistical inference
176,Prediction,Statistical inference
177,Test statistic,Statistical inference
178,Bayesian inference,Statistical inference
179,Statistical inference,
180,Correlation and dependence,Descriptive statistics
181,Prediction,Descriptive statistics
182,Sample size determination,Descriptive statistics
183,Kurtosis,Descriptive statistics
184,Mean,Descriptive statistics
185,Statistical inference,Descriptive statistics
186,Statistical population,Descriptive statistics
187,Variance,Descriptive statistics
188,Mode (statistics),Descriptive statistics
189,Standard deviation,Descriptive statistics
190,Conditional probability distribution,Descriptive statistics
191,Sample (statistics),Descriptive statistics
192,Summary statistics,Descriptive statistics
193,Univariate analysis,Descriptive statistics
194,Probability theory,Descriptive statistics
195,Central tendency,Descriptive statistics
196,Nonparametric statistics,Descriptive statistics
197,Covariance,Descriptive statistics
198,Statistics,Descriptive statistics
199,Normal distribution,Descriptive statistics
200,Descriptive statistics,
201,T-distributed stochastic neighbor embedding,Clustering high-dimensional data
202,Association rule learning,Clustering high-dimensional data
203,K-medoids,Clustering high-dimensional data
204,Curse of dimensionality,Clustering high-dimensional data
205,Heuristic,Clustering high-dimensional data
206,Affine subspace,Clustering high-dimensional data
207,ELKI,Clustering high-dimensional data
208,DBSCAN,Clustering high-dimensional data
209,SUBCLU,Clustering high-dimensional data
210,Dijkstra's algorithm,Clustering high-dimensional data
211,Dimension,Clustering high-dimensional data
212,Biclustering,Clustering high-dimensional data
213,Distance function,Clustering high-dimensional data
214,Correlation clustering,Clustering high-dimensional data
215,Bioinformatics,Clustering high-dimensional data
216,Variance,Clustering high-dimensional data
217,Correlation and dependence,Clustering high-dimensional data
218,Heaps' law,Clustering high-dimensional data
219,DNA microarray,Clustering high-dimensional data
220,Cluster analysis,Clustering high-dimensional data
221,Clustering high-dimensional data,
222,Statistical inference,Data processing
223,Information system,Data processing
224,Computation,Data processing
225,SPSS,Data processing
226,Information processing,Data processing
227,Data analysis,Data processing
228,SAS (software),Data processing
229,Information technology,Data processing
230,DAP (software),Data processing
231,Automatic summarization,Data processing
232,Data classification (business intelligence),Data processing
233,Algorithm,Data processing
234,Sorting,Data processing
235,Summary statistics,Data processing
236,Big data,Data processing
237,Computer science,Data processing
238,Data collection,Data processing
239,Data validation,Data processing
240,Statistics,Data processing
241,Data processing,
242,Inquisitive learning,Active learning
243,Student-centered,Active learning
244,Learning styles,Active learning
245,Cooperative learning,Active learning
246,Design-based learning,Active learning
247,Intrinsic motivation,Active learning
248,Role-playing,Active learning
249,School organizational models,Active learning
250,Problem-based learning,Active learning
251,Experiential learning,Active learning
252,Just-in-time teaching,Active learning
253,Learning environment,Active learning
254,Gallery walk,Active learning
255,Action teaching,Active learning
256,Learning space,Active learning
257,Case study,Active learning
258,Learning by teaching,Active learning
259,Passive learning,Active learning
260,Organizational learning,Active learning
261,Learning cell,Active learning
262,Active learning,
263,Semi-supervised learning,
264,Probit,Histogram
265,Interquartile range,Histogram
266,Binomial distribution,Histogram
267,Image histogram,Histogram
268,Standard deviation,Histogram
269,Data binning,Histogram
270,Color histogram,Histogram
271,Entropy estimation,Histogram
272,Kernel density estimation,Histogram
273,Kernel (statistics),Histogram
274,Categorical data,Histogram
275,Pearson's chi-squared test,Histogram
276,Frequency distribution,Histogram
277,Probability distribution,Histogram
278,Normalization (statistics),Histogram
279,Probability density function,Histogram
280,Freedman–Diaconis rule,Histogram
281,Relative frequency,Histogram
282,Density estimation,Histogram
283,V-optimal histograms,Histogram
284,Histogram,
285,Domain of a function,Local optimum
286,Neighbourhood (mathematics),Local optimum
287,Applied mathematics,Local optimum
288,First derivative test,Local optimum
289,Computer science,Local optimum
290,Necessary and sufficient conditions,Local optimum
291,Bounded set,Local optimum
292,Optimization problem,Local optimum
293,Calculus,Local optimum
294,Iterated local search,Local optimum
295,Basin of attraction,Local optimum
296,Simulated annealing,Local optimum
297,Tabu search,Local optimum
298,Hill climbing,Local optimum
299,Plateau (mathematics),Local optimum
300,Continuous function,Local optimum
301,Solution space,Local optimum
302,Local search (optimization),Local optimum
303,Local optimum,
304,Bootstrapping (business),Bootstrapping
305,Rudolf Erich Raspe,Bootstrapping
306,Statistical classification,Bootstrapping
307,Bootstrapping (finance),Bootstrapping
308,Compiler,Bootstrapping
309,Boot jack,Bootstrapping
310,Intelligence explosion,Bootstrapping
311,Econometric,Bootstrapping
312,Baron Munchausen,Bootstrapping
313,High-level programming language,Bootstrapping
314,Pseudorandom number generator,Bootstrapping
315,Language acquisition,Bootstrapping
316,Resampling (statistics),Bootstrapping
317,Phylogenetic tree,Bootstrapping
318,Integrated development environment,Bootstrapping
319,Idiom,Bootstrapping
320,AI,Bootstrapping
321,Computer simulation,Bootstrapping
322,Computer technology,Bootstrapping
323,Boot,Bootstrapping
324,Bootstrapping,
325,Optimal design,Model selection
326,Robust statistics,Model selection
327,Curve fitting,Model selection
328,Statistical model,Model selection
329,Bias-variance dilemma,Model selection
330,Consistency (statistics),Model selection
331,Decision theory,Model selection
332,Estimator,Model selection
333,Automated machine learning,Model selection
334,Efficient estimator,Model selection
335,Statistical inference,Model selection
336,Statistical model validation,Model selection
337,Feature selection,Model selection
338,Identifiability Analysis,Model selection
339,Grid search,Model selection
340,Cross-validation (statistics),Model selection
341,Focused information criterion,Model selection
342,Akaike information criterion,Model selection
343,Stepwise regression,Model selection
344,Statistical model specification,Model selection
345,Model selection,
346,Binary variable,Discretization
347,Discrete mathematics,Discretization
348,Numerical analysis,Discretization
349,Finite difference method,Discretization
350,Smoothness,Discretization
351,Bandlimiting,Discretization
352,State space (controls),Discretization
353,White noise,Discretization
354,Granular computing,Discretization
355,Euler's method,Discretization
356,Discretization error,Discretization
357,Discrete time and continuous time,Discretization
358,Distribution (mathematics),Discretization
359,Quantization (signal processing),Discretization
360,Smoothing,Discretization
361,Binary classification,Discretization
362,Statistics,Discretization
363,Continuous function,Discretization
364,Time-scale calculus,Discretization
365,Stochastic simulation,Discretization
366,Discretization,
367,Probability distribution,Quartile
368,Interquartile range,Quartile
369,Summary statistics,Quartile
370,Statistics,Quartile
371,Robust statistics,Quartile
372,Quantile function,Quartile
373,Range (statistics),Quartile
374,Midhinge,Quartile
375,Sample maximum,Quartile
376,Order statistic,Quartile
377,Outlier,Quartile
378,Percentiles,Quartile
379,Quantile,Quartile
380,Five-number summary,Quartile
381,Descriptive statistics,Quartile
382,Median,Quartile
383,Standard deviation,Quartile
384,Statistical dispersion,Quartile
385,Random variable,Quartile
386,Box plot,Quartile
387,Quartile,
388,Euclidean plane,Linear separability
389,Support-vector machine,Linear separability
390,Hyperplane,Linear separability
391,Hyperplane separation theorem,Linear separability
392,Linear classifier,Linear separability
393,Normal (geometry),Linear separability
394,Boolean function,Linear separability
395,Collinear,Linear separability
396,Statistical classification,Linear separability
397,Margin classifier,Linear separability
398,Real number,Linear separability
399,Kirchberger's theorem,Linear separability
400,Vapnik–Chervonenkis dimension,Linear separability
401,Point (geometry),Linear separability
402,Line (geometry),Linear separability
403,Euclidean geometry,Linear separability
404,Disjoint sets,Linear separability
405,Hypercube,Linear separability
406,Statistics,Linear separability
407,Convex hull,Linear separability
408,Linear separability,
409,Database,Knowledge base
410,Knowledge graph,Knowledge base
411,Vadalog,Knowledge base
412,Semantic network,Knowledge base
413,Knowledge management,Knowledge base
414,AI,Knowledge base
415,Attribute–value system,Knowledge base
416,Relational databases,Knowledge base
417,Information technology,Knowledge base
418,Data model,Knowledge base
419,Object database,Knowledge base
420,Text mining,Knowledge base
421,Symbolic artificial intelligence,Knowledge base
422,Reasoning system,Knowledge base
423,Ontology engineering,Knowledge base
424,Hierarchical database model,Knowledge base
425,Expert system,Knowledge base
426,Knowledge-based systems,Knowledge base
427,Data,Knowledge base
428,Ontology (information science),Knowledge base
429,Knowledge base,
430,Data wrangling,Data reduction
431,Dimensionality reduction,Data reduction
432,Data pre-processing,Data reduction
433,Experimental data,Data reduction
434,Digital information,Data reduction
435,Systematic error,Data reduction
436,Conditionality principle,Data reduction
437,Log-linear model,Data reduction
438,Image compression,Data reduction
439,Data editing,Data reduction
440,Data cleansing,Data reduction
441,Encoding,Data reduction
442,Scaling (geometry),Data reduction
443,Likelihood principle,Data reduction
444,Interpolation,Data reduction
445,Epilepsy,Data reduction
446,Smoothing,Data reduction
447,Sufficient statistic,Data reduction
448,Sorting,Data reduction
449,Digitization,Data reduction
450,Data reduction,
451,Database model,Data modeling
452,Data Vault Modeling,Data modeling
453,Semantic data model,Data modeling
454,Entity–relationship model,Data modeling
455,Three schema approach,Data modeling
456,Conceptual modeling,Data modeling
457,Business process,Data modeling
458,Information system,Data modeling
459,Data model,Data modeling
460,Metadata modeling,Data modeling
461,Requirements analysis,Data modeling
462,Conceptual schema,Data modeling
463,IDEF1X,Data modeling
464,Information model,Data modeling
465,Enterprise data modeling,Data modeling
466,Business process modeling,Data modeling
467,Data,Data modeling
468,Physical schema,Data modeling
469,Systems analysis,Data modeling
470,Logical schema,Data modeling
471,Data modeling,
472,Dendrogram,Single-linkage clustering
473,Ultrametricity,Single-linkage clustering
474,Weissella,Single-linkage clustering
475,Kruskal's algorithm,Single-linkage clustering
476,Prim's algorithm,Single-linkage clustering
477,UPGMA,Single-linkage clustering
478,Complete-linkage clustering,Single-linkage clustering
479,Statistics,Single-linkage clustering
480,Bacillus subtilis,Single-linkage clustering
481,5S ribosomal RNA,Single-linkage clustering
482,Hierarchical clustering,Single-linkage clustering
483,Neighbor-joining,Single-linkage clustering
484,Acholeplasma,Single-linkage clustering
485,Minimum spanning tree,Single-linkage clustering
486,Ward's method,Single-linkage clustering
487,Micrococcus luteus,Single-linkage clustering
488,Models of DNA evolution,Single-linkage clustering
489,WPGMA,Single-linkage clustering
490,Cluster analysis,Single-linkage clustering
491,Molecular clock,Single-linkage clustering
492,Single-linkage clustering,
493,Weka (machine learning),OPTICS algorithm
494,Scikit-learn,OPTICS algorithm
495,Spatial index,OPTICS algorithm
496,Cluster analysis,OPTICS algorithm
497,Spanning tree,OPTICS algorithm
498,R (programming language),OPTICS algorithm
499,Fixed-radius near neighbors,OPTICS algorithm
500,Priority queue,OPTICS algorithm
501,Dendrogram,OPTICS algorithm
502,Anomaly detection,OPTICS algorithm
503,Hierarchical clustering,OPTICS algorithm
504,Hans-Peter Kriegel,OPTICS algorithm
505,Correlation clustering,OPTICS algorithm
506,Heap (data structure),OPTICS algorithm
507,Local outlier factor,OPTICS algorithm
508,K-d tree,OPTICS algorithm
509,ELKI,OPTICS algorithm
510,DBSCAN,OPTICS algorithm
511,Single-linkage clustering,OPTICS algorithm
512,Clustering high-dimensional data,OPTICS algorithm
513,OPTICS algorithm,
514,Estimator,Outlier
515,Set estimation,Outlier
516,Systematic error,Outlier
517,Robust regression,Outlier
518,Statistical population,Outlier
519,Mixture model,Outlier
520,Chauvenet's criterion,Outlier
521,Studentized residual,Outlier
522,Statistics,Outlier
523,Grubbs's test for outliers,Outlier
524,Data set,Outlier
525,Regression analysis,Outlier
526,Normal probability plot,Outlier
527,Random sample consensus,Outlier
528,Sample maximum,Outlier
529,Standard deviation,Outlier
530,Probability distribution,Outlier
531,Robust statistics,Outlier
532,Central tendency,Outlier
533,Sample (statistics),Outlier
534,Outlier,
535,Delta rule,Backpropagation
536,Supervised learning,Backpropagation
537,Gradient method,Backpropagation
538,Gradient descent,Backpropagation
539,Backpropagation through time,Backpropagation
540,Monte Carlo tree search,Backpropagation
541,Overfitting,Backpropagation
542,Activation function,Backpropagation
543,Statistical classification,Backpropagation
544,Algorithm,Backpropagation
545,AdaBoost,Backpropagation
546,Feedforward neural network,Backpropagation
547,Ensemble learning,Backpropagation
548,Regression analysis,Backpropagation
549,Fisher information,Backpropagation
550,Training set,Backpropagation
551,Dynamic programming,Backpropagation
552,Automatic differentiation,Backpropagation
553,Stochastic gradient descent,Backpropagation
554,Loss function,Backpropagation
555,Backpropagation,
556,Statistical assumptions,Statistical model
557,Statistical population,Statistical model
558,Semiparametric model,Statistical model
559,Statistical inference,Statistical model
560,Parametric model,Statistical model
561,Probability distribution,Statistical model
562,Random variable,Statistical model
563,Statistical hypothesis testing,Statistical model
564,Deterministic system,Statistical model
565,Independent identically distributed,Statistical model
566,Linear regression,Statistical model
567,R-squared,Statistical model
568,Bayes factor,Statistical model
569,Statistical theory,Statistical model
570,Statistical model specification,Statistical model
571,Nonparametric statistics,Statistical model
572,Predictive modelling,Statistical model
573,Statistical model validation,Statistical model
574,Estimator,Statistical model
575,Mathematical model,Statistical model
576,Statistical model,
577,Sample size determination,Stepwise regression
578,Cross-validation (statistics),Stepwise regression
579,R-squared,Stepwise regression
580,Mallows's Cp,Stepwise regression
581,Regression validation,Stepwise regression
582,Ensemble learning,Stepwise regression
583,Akaike information criterion,Stepwise regression
584,Training set,Stepwise regression
585,PRESS statistic,Stepwise regression
586,Logistic regression,Stepwise regression
587,Residual sum of squares,Stepwise regression
588,Freedman's paradox,Stepwise regression
589,Statistics,Stepwise regression
590,Least-angle regression,Stepwise regression
591,Overfitting,Stepwise regression
592,Lasso (statistics),Stepwise regression
593,F-test,Stepwise regression
594,Model selection,Stepwise regression
595,Regression analysis,Stepwise regression
596,Efficient estimator,Stepwise regression
597,Stepwise regression,
598,Expectation–maximization algorithm,Fuzzy clustering
599,Determining the number of clusters in a data set,Fuzzy clustering
600,HSL and HSV,Fuzzy clustering
601,Transcription factor,Fuzzy clustering
602,Fuzzy set,Fuzzy clustering
603,HCL color space,Fuzzy clustering
604,K-means clustering,Fuzzy clustering
605,Pattern recognition,Fuzzy clustering
606,Cluster analysis,Fuzzy clustering
607,FLAME Clustering,Fuzzy clustering
608,Fuzzy logic,Fuzzy clustering
609,Data point,Fuzzy clustering
610,Image segmentation,Fuzzy clustering
611,RGB color space,Fuzzy clustering
612,Fuzzy clustering,
613,Universal Darwinism,Natural selection
614,Frequency-dependent selection,Natural selection
615,Ecological selection,Natural selection
616,Group selection,Natural selection
617,Genetic diversity,Natural selection
618,Reinforcement (speciation),Natural selection
619,Evolution,Natural selection
620,Evolutionary biology,Natural selection
621,Sexual selection,Natural selection
622,Genetic algorithm,Natural selection
623,Microevolution,Natural selection
624,Evolutionary psychology,Natural selection
625,Disruptive selection,Natural selection
626,Evolutionary Computation,Natural selection
627,Stabilizing selection,Natural selection
628,Kin selection,Natural selection
629,The Genetical Theory of Natural Selection,Natural selection
630,Adaptation,Natural selection
631,Heritability,Natural selection
632,Natural selection,
633,Contextual Query Language,Query language
634,SPARQL,Query language
635,RDQL,Query language
636,Data manipulation language,Query language
637,Database,Query language
638,Datalog,Query language
639,Jaql,Query language
640,XML database,Query language
641,.QL,Query language
642,Data mining,Query language
643,SQL,Query language
644,Computer language,Query language
645,Object Query Language,Query language
646,Controlled natural language,Query language
647,JSONiq,Query language
648,QUEL query languages,Query language
649,Cypher Query Language,Query language
650,Deductive database,Query language
651,XQuery,Query language
652,Information retrieval,Query language
653,Query language,
654,Low-noise amplifier,Signal-to-noise ratio
655,Noise power,Signal-to-noise ratio
656,Shannon–Hartley theorem,Signal-to-noise ratio
657,Signal (electrical engineering),Signal-to-noise ratio
658,Contrast-to-noise ratio,Signal-to-noise ratio
659,Standard deviation,Signal-to-noise ratio
660,Peak signal-to-noise ratio,Signal-to-noise ratio
661,Signal-to-noise statistic,Signal-to-noise ratio
662,Video quality,Signal-to-noise ratio
663,Signal averaging,Signal-to-noise ratio
664,Decibel,Signal-to-noise ratio
665,Distortion,Signal-to-noise ratio
666,Sensitivity index,Signal-to-noise ratio
667,Variance,Signal-to-noise ratio
668,Noise (electronic),Signal-to-noise ratio
669,Matched filter,Signal-to-noise ratio
670,Signal-to-interference-plus-noise ratio,Signal-to-noise ratio
671,Signal-to-noise ratio (imaging),Signal-to-noise ratio
672,SINAD,Signal-to-noise ratio
673,Noise (signal processing),Signal-to-noise ratio
674,Signal-to-noise ratio,
675,Multivariate analysis of covariance,Multivariate statistics
676,Cluster analysis,Multivariate statistics
677,Wishart distribution,Multivariate statistics
678,Statistical classification,Multivariate statistics
679,Bivariate analysis,Multivariate statistics
680,Statistics,Multivariate statistics
681,Bayesian multivariate linear regression,Multivariate statistics
682,Univariate analysis,Multivariate statistics
683,Canonical correlation analysis,Multivariate statistics
684,Estimation of covariance matrices,Multivariate statistics
685,Factor analysis,Multivariate statistics
686,Regression analysis,Multivariate statistics
687,Bayesian inference,Multivariate statistics
688,Bivariate normal distribution,Multivariate statistics
689,Partial least squares regression,Multivariate statistics
690,Simple linear regression,Multivariate statistics
691,Statistical inference,Multivariate statistics
692,Multivariate analysis of variance,Multivariate statistics
693,General linear model,Multivariate statistics
694,Multivariate Student distribution,Multivariate statistics
695,Multivariate statistics,
696,F-score,Confusion matrix
697,Whistled language,Confusion matrix
698,False negative,Confusion matrix
699,Machine learning,Confusion matrix
700,Contingency table,Confusion matrix
701,Unsupervised learning,Confusion matrix
702,Supervised learning,Confusion matrix
703,Predictive analytics,Confusion matrix
704,Matrix (mathematics),Confusion matrix
705,Sensitivity and specificity,Confusion matrix
706,Informedness,Confusion matrix
707,Positive and negative predictive values,Confusion matrix
708,Matthews correlation coefficient,Confusion matrix
709,Statistical population,Confusion matrix
710,Statistical classification,Confusion matrix
711,Confusion matrix,
712,Local search (Internet),Search engine
713,YaCy,Search engine
714,Algorithm,Search engine
715,Search engine indexing,Search engine
716,Ranking (information retrieval),Search engine
717,Web query,Search engine
718,Search engine results page,Search engine
719,Yebol,Search engine
720,Comparison of web search engines,Search engine
721,Inverted index,Search engine
722,Keyword (Internet search),Search engine
723,Google Search,Search engine
724,Link analysis,Search engine
725,Relevance (information retrieval),Search engine
726,Content-based image retrieval,Search engine
727,Yandex Search,Search engine
728,Computer science,Search engine
729,PageRank,Search engine
730,Information retrieval,Search engine
731,Data mining,Search engine
732,Search engine,
733,Matthews correlation coefficient,F-score
734,Accuracy,F-score
735,Type I and type II errors,F-score
736,Sensitivity and specificity,F-score
737,Harmonic mean,F-score
738,METEOR,F-score
739,P4-metric,F-score
740,Receiver operating characteristic,F-score
741,Geometric mean,F-score
742,Word error rate,F-score
743,Precision and recall,F-score
744,Evaluation of binary classifiers,F-score
745,Fowlkes–Mallows index,F-score
746,Multiclass classification,F-score
747,Positive and negative predictive values,F-score
748,LEPOR,F-score
749,Binary classification,F-score
750,Confusion matrix,F-score
751,Informedness,F-score
752,Uncertainty coefficient,F-score
753,F-score,
754,Dependent and independent variables,Design matrix
755,ANOVA,Design matrix
756,Continuous or discrete variable,Design matrix
757,Scatter matrix,Design matrix
758,Projection matrix,Design matrix
759,Linear regression,Design matrix
760,Feature vector,Design matrix
761,Regression analysis,Design matrix
762,Data,Design matrix
763,General linear model,Design matrix
764,Column vector,Design matrix
765,ANCOVA,Design matrix
766,Jacobian matrix and determinant,Design matrix
767,Statistics,Design matrix
768,Simple linear regression,Design matrix
769,Matrix (mathematics),Design matrix
770,Indicator variable,Design matrix
771,Moment matrix,Design matrix
772,Experimental design,Design matrix
773,Statistical model,Design matrix
774,Design matrix,
775,Normal distribution,Variance
776,Random variable,Variance
777,Covariance matrix,Variance
778,Statistics,Variance
779,Squared deviations from the mean,Variance
780,Statistical inference,Variance
781,Covariance,Variance
782,Standard error (statistics),Variance
783,Deviation (statistics),Variance
784,Standard deviation,Variance
785,Estimation theory,Variance
786,Variance-stabilizing transformation,Variance
787,Conditional variance,Variance
788,Robust statistics,Variance
789,Pooled variance,Variance
790,Sample mean,Variance
791,Unbiased estimation of standard deviation,Variance
792,Estimator,Variance
793,U-statistic,Variance
794,Probability distribution,Variance
795,Variance,
796,IP address,Apriori algorithm
797,Database,Apriori algorithm
798,MIT license,Apriori algorithm
799,Multiset,Apriori algorithm
800,Breadth-first search,Apriori algorithm
801,Relational databases,Apriori algorithm
802,Frequent pattern mining,Apriori algorithm
803,Stock-keeping unit,Apriori algorithm
804,Winepi,Apriori algorithm
805,Market basket analysis,Apriori algorithm
806,Hash tree (persistent data structure),Apriori algorithm
807,R (programming language),Apriori algorithm
808,Association rule learning,Apriori algorithm
809,Algorithm,Apriori algorithm
810,Apriori algorithm,
811,Decision boundary,Hyperplane
812,Affine geometry,Hyperplane
813,Projective geometry,Hyperplane
814,Hyperplane separation theorem,Hyperplane
815,Supporting hyperplane theorem,Hyperplane
816,Convex geometry,Hyperplane
817,Normal (geometry),Hyperplane
818,Arrangement of hyperplanes,Hyperplane
819,Hypersurface,Hyperplane
820,Linear subspace,Hyperplane
821,Affine subspace,Hyperplane
822,Reflection (mathematics),Hyperplane
823,Ambient space,Hyperplane
824,Convex set,Hyperplane
825,Euclidean subspace,Hyperplane
826,Vector space,Hyperplane
827,Projective space,Hyperplane
828,Half-space (geometry),Hyperplane
829,Dimension,Hyperplane
830,Codimension,Hyperplane
831,Hyperplane,
832,Text mining,Data analysis
833,Descriptive statistics,Data analysis
834,Analytics,Data analysis
835,Data model,Data analysis
836,Statistical model validation,Data analysis
837,Data science,Data analysis
838,Big data,Data analysis
839,Data mining,Data analysis
840,Nonlinear system identification,Data analysis
841,Statistical inference,Data analysis
842,Predictive analytics,Data analysis
843,Sensitivity analysis,Data analysis
844,Regression analysis,Data analysis
845,Structured data analysis (statistics),Data analysis
846,Test method,Data analysis
847,Data,Data analysis
848,Randomization,Data analysis
849,Exploratory data analysis,Data analysis
850,Cross-validation (statistics),Data analysis
851,Data modeling,Data analysis
852,Data analysis,
853,Standard deviation,Pearson correlation coefficient
854,Correlation and dependence,Pearson correlation coefficient
855,Concordance correlation coefficient,Pearson correlation coefficient
856,Partial correlation,Pearson correlation coefficient
857,Robust statistics,Pearson correlation coefficient
858,Fisher transformation,Pearson correlation coefficient
859,R-squared,Pearson correlation coefficient
860,Bivariate normal distribution,Pearson correlation coefficient
861,Maximum likelihood estimation,Pearson correlation coefficient
862,Normal distribution,Pearson correlation coefficient
863,Multiple correlation,Pearson correlation coefficient
864,Standard error (statistics),Pearson correlation coefficient
865,Random variable,Pearson correlation coefficient
866,Covariance,Pearson correlation coefficient
